0,1,2,3,4,5,6,7,8
-87.0899,33.281,Petro\,  Marathon RV Dump; 255 Truck Parking Spots; #0319,205-477-9178,I-20/59 Exit 100; 22526 Highway 216,McCalla,AL,35111,USA
-87.046503,33.321634,Flying J\, RV Lanes/RV Dump/Propane; 150 Truck Parking Spots/RV Parking; #0601,205-477-9181,I-20/59 Exit 104; 6098 MacAshan Dr,McCalla,AL,35111,USA
-86.3322,32.3276,TA\,  Marathon 125 Truck Parking Spots; #0111,334-288-3700,I-65 Exit 168; 980 West South Blvd.,Montgomery,AL,36105,USA
-86.477205,33.577002,Love's\,  RV Dump/Propane; 97 Truck Parking Spots; #0530,205-699-2977,I-20 Exit 147; 2625 Kelly Creek Rd S,Moody,AL,35004,USA
-87.63657983,34.69622184,Love's\,  RV Dump/Propane; 80 Truck Parking Spots; #0580,256-383-8889,Hwy 72A Exit Three Mile Lane; 2048 Hwy 20,Muscle Shoals,AL,35674,USA
-85.619824,31.427266999999997,Love's\,  RV Dump/Propane; 70 Truck Parking Spots; #0566,334-445-0323,HWY 231 Exit 12; 3771 S Hwy 231,Ozark,AL,36360,USA
-86.91045799999999,34.538039000000005,Pilot\, RV Lanes/RV Dump; 90 Truck Parking Spots; #0441,256-353-5252,I-65 Exit 334; 3240 Point Mallard Pkwy,Priceville,AL,35603,USA
-88.11083599999999,30.740477000000002,Love's\,  RV Dump/Propane; 73 Truck Parking Spots; #0624,251-330-2991,I-65 Exit 8; 2600 W I-65 Service Rd N,Prichard,AL,36612,USA
-87.616086,30.629924,AMBEST\,  Oasis Travel Center 400 Truck Parking Spots,251-960-1150,I-10 Exit 53 at Hwy. 64,Robertsdale,AL,36567,USA
-88.046869,30.872861,Pilot\, 125 Truck Parking Spots; #0075,251-679-6260,I-65 Exit 19; 6109 US 43 South,Satsuma,AL,36572,USA
-85.9556,32.4056,Petro\,  Shell 50 Truck Parking Spots; #0348,334-727-3354,I-85 Exit 22; 428 Main St,Shorter,AL,36075,USA
-85.95802900000001,32.405689,Love's\,  RV Dump/Propane; 91 Truck Parking Spots; #0577,334-725-1355,I-85 Exit 22; 431 Main St,Shorter,AL,36075,USA
-86.19122800000001,33.933261,Love's\,  RV Dump/Propane; 90 Truck Parking Spots; #0304,256-538-1964,I-59 Exit 174; 905 Steele Station Rd,Steele,AL,35987,USA
-88.205244,30.559409999999996,Pilot\, 65 Truck Parking Spots; #0302,251-653-8834,I-10 Exit 13; 6955 Theodore Dawes,Theodore,AL,36582,USA
