,uid,latitude,longitude,name,city,st,zip,cat,elev,comments,height
4172,188018,41.171567,-73.330919,Low Clearance,Westport,CT,6880,LC10,,10-4 height clearance (136),10.4
4173,188019,33.738256,-84.412625,Low Clearance,Atlanta,GA,30310,LC10,,13 - 7 height clearance,13.7
4174,188020,42.797355,-83.246781,Low Clearance,Orion Charter Township,MI,48362,LC10,,10-0 height clearance (136),10.0
4175,188021,40.700254,-75.136398,Low Clearance,Stewartsville,NJ,8886,LC10,,10-6 height clearance (136),10.6
4176,188022,39.31388,-82.911714,Low Clearance,Chillicothe,OH,45601,LC10,,"10-2 center, 7-2 sides height clearance (136)",10.2
4177,188023,39.727104,-84.212823,Low Clearance,Moraine,OH,45439,LC10,,10-0 height clearance (136),10.0
4178,188024,35.020716,-85.363189,Low Clearance,Chattanooga,TN,37419,LC10,,10-4 height clearance (136),10.4
4179,188025,33.616823,-85.555126,Low Clearance,Heflin,AL,36264,LC10,,10 - 2 height clearance (136),10.2
4180,188026,34.912049,-87.588204,Low Clearance,Florence,AL,35634,LC10,,10-3 height clearance (136),10.3
4181,188027,33.056126,-109.298742,Low Clearance,Clifton,AZ,85533,LC10,,10-4 height clearance (136),10.4
4182,188028,35.357418,-109.051392,Low Clearance,Lupton,AZ,86508,LC13,,13 - 4 height clearance (136),13.4
4183,188029,35.064328,-93.272344,Low Clearance,Danville,AR,72833,LC10,,10-8 height clearance (136),10.8
