,longitude,latitude,name,location
155,-109.32115,35.22298,Weigh Station,Chambers Arizona
156,-109.32224,35.22363,Weigh Station,Chambers Arizona
157,-111.5446,31.483,Weigh Station,Sasabe Arizona
158,-94.14946,38.87021,Weigh Station,Lone Jack Missouri
159,-94.15115,38.87146,Weigh Station,Lone Jack Missouri
160,-94.74979,39.10659,Weigh Station,I-70 Westbound
161,-102.0438,39.32925,Weigh Station,I-70 Eastbound
162,-93.85354,39.00382,Weigh Station,Odessa Missouri
163,-93.85157,39.00484,Weigh Station,Odessa Missouri
164,-97.65272,39.79848,Weigh Station,Hwy 81 North && Southbound
165,-88.89854,36.50632,Weigh Station,Fulton Kentucky
166,-94.39888,39.31714,Weigh Station,Liberty Missouri
167,-94.78922,39.4308,Weigh Station,Platte City Missouri
168,-103.68549,39.27277,Weigh Station,Limon Colorado
169,-103.68559,39.27367,Weigh Station,Limon Colorado
170,-89.24918,36.98192,Weigh Station,Charlston Missouri
171,-97.61445,40.0965,Weigh Station,Hwy 81 North && South bound
172,-104.86368,39.10054,Weigh Station,Monument Colorado
173,-104.8646,39.1005,Weigh Station,Monument Colorado
174,-97.5824,40.1468,Weigh Station,Hwy 136 East && West bound
175,-84.98305,30.63987,Weigh Station,Greensboro Florida
176,-84.98275,30.63874,Weigh Station,Greensoro Florida
177,-91.00907,38.33983,Weigh Station,Parkway Missouri
178,-91.00718,38.33902,Weigh Station,Parkway Missouri
179,-94.69537,39.74687,Weigh Station,St Joseph Missouri
180,-94.69524,39.74801,Weigh Station,St Joseph Missouri
181,-89.39583,37.44404,Weigh Station,Wolf Lake Illinois
182,-109.0904,36.92284,Weigh Station,Teec Nos Pos Arizona
183,-108.60795,37.31432,Weigh Station,Cortez Colorado
184,-86.87972,35.34314,Weigh Station,Columbia Tennessee
185,-90.39916,38.33696,Weigh Station,Barnhart Missouri
186,-90.39841,38.33682,Weigh Station,Barnhart Missouri
187,-112.81766,31.87981,Weigh Station,Lukeville Arizona
