Unnamed: 0,cat,city,comments,elev,height,latitude,longitude,name,st,uid,zip
74.0,LC12,Wetumpka,12 - 6 height clearance (136),,12.6,32.538674,-86.20715799999998,Low Clearance,AL,101500.0,36092
75.0,LC12,Batesville,12 - 6 height clearance (136),,12.6,35.763795,-91.535852,Low Clearance,AR,101524.0,72501
76.0,LC10,Camden,10 - 1 height clearance (136),,10.1,33.578179999999996,-92.8261,Low Clearance,AR,101566.0,71701
77.0,LC13,Camden,13 - 10 height clearance,,13.1,33.58788,-92.82704,Low Clearance,AR,101567.0,71701
78.0,LC13,Camden,13 - 1 height clearance (136),,13.1,33.606559999999995,-92.82024,Low Clearance,AR,101568.0,71701
79.0,LC12,Clarendon,12 - 1 height clearance (136),,12.1,34.688809,-91.316231,Low Clearance,AR,101575.0,72029
80.0,LC9,Earle,9 - 0 height clearance (136),,9.0,35.26824000000001,-90.47207,Low Clearance,AR,101604.0,72331
81.0,LC12,Earle,12 - 1 height clearance (136),,12.1,35.26945999999999,-90.46566999999999,Low Clearance,AR,101605.0,72331
82.0,LC8,Fulton,8 - 0 height clearance (136),,8.0,33.610766,-93.815338,Low Clearance,AR,101643.0,71838
83.0,LC13,Fulton,13 - 8 height clearance,,13.8,33.613199,-93.812451,Low Clearance,AR,101644.0,71838
84.0,LC13,Garfield,13 - 10 height clearance,,13.1,36.490386,-93.932441,Low Clearance,AR,101646.0,72732
85.0,LC13,Garland,13 - 6 height clearance,,13.6,33.369334,-93.717736,Low Clearance,AR,101647.0,71839
86.0,LC10,Gurdon,10 - 6 height clearance (136),,10.6,33.92202,-93.15095,Low Clearance,AR,101659.0,71743
87.0,LC11,Hot Springs,11 - 6 height clearance (136),,11.6,34.49264,-93.04841,Low Clearance,AR,101678.0,71901
88.0,LC11,Little Rock,11 - 4 height clearance (136),,11.4,34.740659,-92.295208,Low Clearance,AR,101711.0,72201
89.0,LC12,Little Rock,12 - 6 height clearance (136),,12.6,34.74192,-92.25778000000001,Low Clearance,AR,101712.0,72201
90.0,LC13,Little Rock,13 - 6 height clearance,,13.6,34.741997,-92.252767,Low Clearance,AR,101713.0,72201
91.0,LC13,Little Rock,13 - 5 height clearance (136),,13.5,34.745059999999995,-92.30071,Low Clearance,AR,101714.0,72201
92.0,LC10,Little Rock,10 - 1 height clearance (136),,10.1,34.749817,-92.27494300000001,Low Clearance,AR,101715.0,72201
93.0,LC9,Morrilton,9 - 4 height clearance (136),,9.4,35.153681,-92.75045,Low Clearance,AR,101757.0,72110
94.0,LC13,Morrilton,13 - 10 height clearance,,13.1,35.154771999999994,-92.753856,Low Clearance,AR,101758.0,72110
95.0,LC13,Mountain View,13 - 5 height clearance (136),,13.5,35.885512,-91.89061600000001,Low Clearance,AR,101761.0,72560
96.0,LC10,Newport,10 - 6 height clearance (136),,10.6,35.587339,-91.321836,Low Clearance,AR,101776.0,72112
97.0,LC12,North Little Rock,12 - 6 height clearance (136),,12.6,34.758179999999996,-92.2792,Low Clearance,AR,101783.0,72114
98.0,LC13,North Little Rock,13 - 10 height clearance,,13.1,34.76853,-92.19941999999999,Low Clearance,AR,101784.0,72114
99.0,LC9,Parkin,9 - 8 height clearance (136),,9.8,35.26430999999999,-90.55385,Low Clearance,AR,101810.0,72373
100.0,LC12,Parkin,12 - 1 height clearance (136),,12.1,35.26450999999999,-90.55601,Low Clearance,AR,101811.0,72373
101.0,LC11,Parkin,11 - 8 height clearance (136),,11.8,35.26475999999999,-90.55869,Low Clearance,AR,101812.0,72373
102.0,LC11,Pottsville,11 - 6 height clearance (136),,11.6,35.25190999999999,-93.04821,Low Clearance,AR,101820.0,72858
103.0,LC14,Texarkana,14 - 1 height clearance,,14.1,33.42096,-94.03011,Low Clearance,AR,101882.0,71854
104.0,LC10,Texarkana,10 - 10 height clearance (136),,10.1,33.47631,-93.97100999999999,Low Clearance,AR,101883.0,71854
105.0,LC9,Trumann,9 - 5 height clearance (136),,9.5,35.6589,-90.49835,Low Clearance,AR,101893.0,72472
106.0,LC10,Trumann,10 - 5 height clearance (136),,10.5,35.67139,-90.50584,Low Clearance,AR,101894.0,72472
107.0,LC12,Trumann,12 - 5 height clearance (136),,12.5,35.6783,-90.51006,Low Clearance,AR,101895.0,72472
108.0,LC11,Turrell,11 - 6 height clearance (136),,11.6,35.36538,-90.25437,Low Clearance,AR,101897.0,72384
109.0,LC12,Van Buren,12 - 8 height clearance (136),,12.8,35.43288,-94.35502,Low Clearance,AR,101899.0,72956
110.0,LC10,Van Buren,10 - 0 height clearance (136),,10.0,35.43618,-94.35477,Low Clearance,AR,101900.0,72956
111.0,LC10,Van Buren,10 - 10 height clearance (136),,10.1,35.43653,-94.35378,Low Clearance,AR,101901.0,72956
112.0,LC13,Bisbee,13 - 5 height clearance (136),,13.5,31.441105,-109.91331699999999,Low Clearance,AZ,101961.0,85603
113.0,LC13,Casa Grande,eastbound 13 - 4 height clearance (136),,13.4,32.879756,-111.762052,Low Clearance,AZ,101986.0,85122
114.0,LC12,Globe,12 - 6 height clearance (136),,12.6,33.401705,-110.791799,Low Clearance,AZ,102100.0,85501
115.0,LC10,Kirkland,10 - 5 height clearance (136),,10.5,34.31026,-112.56863,Low Clearance,AZ,102150.0,86332
116.0,LC15,Phoenix,15 - 1 height clearance,,15.1,33.392751000000004,-111.9686,Low Clearance,AZ,102268.0,85042
117.0,LC14,Phoenix,14 - 0 height clearance,,14.0,33.427305,-112.04778300000001,Low Clearance,AZ,102269.0,85034
118.0,LC12,Phoenix,12 - 0 height clearance (136),,12.0,33.44399,-112.09577,Low Clearance,AZ,102270.0,85034
